Start_TimeStamp,PDR,Max_Burst
172000,0.8,3
172100,0.4,20
172200,0.17,33
172300,0.04,47
172400,0.04,45
172500,0.59,18
172600,0.88,2
172700,0.89,3
172800,0.89,4
172900,0.75,3
173000,0.44,19
173100,0.91,2
173200,0.97,1
173300,0.97,1
173400,0.94,1
173500,0.95,1
173600,0.96,1
173700,0.97,1
173800,0.89,3
173900,0.2,30
174000,0.58,8
174100,0.94,2
174200,0.96,1
174300,0.93,1
174400,0.95,2
174500,0.97,1
174600,0.95,1
174700,0.96,2
174800,0.92,2
174900,0.94,3
175000,0.94,1
175100,0.92,2
175200,0.98,1
175300,0.98,1
175400,0.98,1
175500,0.98,1
175600,0.97,1
175700,1.0,0
175800,0.91,1
175900,0.89,1
176000,0.83,1
176100,0.93,2
176200,0.94,2
176300,0.98,1
176400,0.67,12
176500,0.86,3
176600,0.97,2
176700,0.99,1
176800,0.94,1
176900,0.93,2
177000,0.98,1
177100,0.99,1
177200,0.94,3
177300,0.95,1
177400,0.94,1
177500,0.94,1
177600,0.93,1
177700,0.9,2
177800,0.97,1
177900,0.95,2
178000,0.99,1
178100,0.94,2
178200,0.98,1
178300,0.96,2
178400,0.97,1
178500,0.95,1
178600,0.9,2
178700,1.0,0
178800,0.99,1
178900,0.96,1
179000,0.99,1
179100,0.94,1
179200,0.97,1
179300,0.96,1
179400,0.94,1
179500,0.97,1
179600,0.97,1
179700,0.97,1
179800,0.91,1
179900,0.98,1
180000,0.97,1
180100,0.97,1
180200,0.98,1
180300,0.98,1
180400,0.98,1
180500,1.0,0
180600,0.99,1
180700,1.0,0
180800,0.96,1
180900,0.95,1
181000,0.94,2
181100,0.97,1
181200,0.96,1
181300,0.96,1
181400,0.95,1
181500,0.99,1
181600,0.97,1
181700,0.98,1
181800,0.95,1
181900,0.99,1
182000,0.89,3
182100,0.97,1
182200,0.93,1
182300,0.96,1
182400,0.91,2
182500,0.95,1
182600,0.98,1
182700,0.99,1
182800,0.94,1
182900,0.93,2
183000,0.96,1
183100,0.96,3
183200,0.98,1
183300,0.97,1
183400,0.97,1
183500,0.9,2
183600,1.0,0
183700,0.97,1
183800,0.92,1
183900,0.94,2
184000,0.88,2
184100,0.94,3
184200,0.98,1
184300,0.93,2
184400,0.96,2
184500,1.0,0
184600,0.93,2
184700,0.95,1
184800,0.94,1
184900,0.93,2
185000,0.97,1
185100,0.95,2
185200,0.96,1
185300,1.0,0
185400,0.97,1
185500,0.94,1
185600,0.97,1
185700,0.99,1
185800,0.94,2
185900,0.93,1
186000,0.97,1
186100,0.93,2
186200,0.98,1
186300,0.91,3
186400,0.92,2
186500,0.98,1
186600,0.95,2
186700,0.99,1
186800,0.95,1
186900,0.94,1
187000,0.94,1
187100,0.95,1
187200,0.91,1
187300,0.95,1
187400,0.89,3
187500,0.93,2
187600,0.96,2
187700,0.92,2
187800,0.95,1
187900,0.95,2
188000,0.96,2
188100,0.96,1
188200,0.97,1
188300,0.97,1
188400,0.96,1
188500,0.93,2
188600,0.93,1
188700,0.96,1
188800,0.98,1
188900,0.95,2
189000,0.86,2
189100,0.95,2
189200,0.99,1
189300,0.98,1
189400,0.94,2
189500,0.95,1
189600,0.98,1
189700,0.94,1
189800,0.86,2
189900,0.98,1
190000,1.0,0
190100,1.0,0
190200,0.98,1
190300,0.86,2
190400,0.9,1
190500,0.97,1
190600,0.99,1
190700,0.99,1
190800,0.98,1
190900,0.97,1
191000,0.9,1
191100,0.87,1
191200,0.98,1
191300,0.94,1
191400,0.85,2
191500,0.98,1
191600,0.94,1
191700,0.99,1
191800,0.86,2
191900,0.9,2
192000,0.94,2
192100,0.91,2
192200,0.92,1
192300,0.93,2
192400,0.98,1
192500,0.99,1
192600,0.98,1
192700,0.95,2
192800,0.96,2
192900,0.95,1
193000,0.96,1
193100,0.91,2
193200,0.94,1
193300,0.98,1
193400,0.97,1
193500,0.76,4
193600,0.86,3
193700,0.94,2
193800,0.99,1
193900,0.9,2
194000,0.81,3
194100,0.91,2
194200,0.95,1
194300,0.97,1
194400,1.0,0
194500,0.95,2
194600,0.72,5
194700,0.94,1
194800,0.96,1
194900,0.82,3
195000,0.99,1
195100,0.87,4
195200,1.0,0
195300,0.98,1
195400,0.97,1
195500,0.9,2
195600,0.95,1
195700,0.93,1
195800,0.98,1
195900,0.96,1
196000,0.99,1
196100,0.86,2
196200,0.94,1
196300,0.83,3
196400,0.93,3
196500,0.94,3
196600,0.95,1
196700,0.94,1
196800,0.97,2
196900,0.98,1
197000,0.91,2
197100,0.96,1
197200,0.94,1
197300,0.97,1
197400,0.97,1
197500,0.97,1
197600,0.99,1
197700,1.0,0
197800,0.97,1
197900,0.85,2
198000,0.93,2
198100,1.0,0
198200,0.99,1
198300,0.99,1
198400,0.97,1
198500,0.96,1
198600,0.89,2
198700,0.98,1
198800,0.96,1
198900,0.97,1
199000,0.98,1
199100,1.0,0
199200,0.92,1
199300,0.85,2
199400,0.85,2
199500,0.89,2
199600,0.96,2
199700,0.94,1
199800,0.94,1
199900,0.96,1
200000,0.9,1
200100,0.87,3
200200,0.96,1
200300,0.93,1
200400,0.96,1
200500,0.93,1
200600,0.96,1
200700,0.99,1
200800,0.96,2
200900,0.91,1
201000,0.99,1
201100,0.93,1
201200,0.88,1
201300,0.87,2
201400,0.97,1
201500,0.93,2
201600,0.78,2
201700,0.96,1
201800,0.97,1
201900,0.9,2
202000,0.87,6
202100,0.93,2
202200,0.97,1
202300,0.99,1
202400,1.0,0
202500,0.9,2
202600,0.91,2
202700,0.99,1
202800,0.99,1
202900,0.98,2
203000,0.95,1
203100,0.98,1
203200,0.97,1
203300,0.95,2
203400,0.91,1
203500,0.88,1
203600,0.93,1
203700,0.78,21
203800,0.85,3
203900,0.75,22
204000,0.73,21
204100,0.89,6
204200,0.94,1
204300,0.41,41
204400,0.6,32
204500,0.32,68
204600,0.59,38
204700,0.65,33
204800,0.97,1
204900,0.97,1
205000,0.79,4
205100,0.82,3
205200,0.68,15
205300,0.97,1
205400,0.97,1
205500,0.53,21
205600,0.24,45
205700,0.49,25
205800,0.87,13
205900,0.4,35
206000,0.67,23
206100,0.88,10
206200,0.4,48
206300,0.75,7
206400,0.99,1
206500,0.92,2
206600,0.96,1
206700,0.95,2
206800,0.19,49
206900,0.0,100
207000,0.17,47
207100,0.88,1
207200,0.93,1
207300,0.89,1
207400,0.9,1
207500,0.88,1
207600,0.87,1
207700,0.91,1
207800,0.94,1
207900,0.93,1
208000,0.94,2
208100,0.98,1
208200,0.95,1
208300,0.98,1
208400,0.97,1
208500,0.99,1
208600,0.99,1
208700,1.0,0
208800,0.98,1
208900,0.89,2
209000,0.95,1
209100,0.93,1
209200,0.97,1
209300,0.97,2
209400,0.98,1
209500,1.0,0
209600,0.98,2
209700,0.97,1
209800,0.96,1
209900,0.91,2
210000,0.98,1
210100,1.0,0
210200,0.93,1
210300,0.97,1
210400,0.84,3
210500,0.94,2
210600,0.91,2
210700,0.98,1
210800,0.98,1
210900,0.94,2
211000,0.96,2
211100,0.97,1
211200,0.9,2
211300,0.98,1
211400,0.96,1
211500,0.97,1
211600,0.95,1
211700,0.93,3
211800,0.85,4
211900,0.96,1
212000,0.98,1
212100,0.87,2
212200,0.81,6
212300,0.83,5
212400,0.98,1
212500,0.98,1
212600,0.93,1
212700,0.96,1
212800,0.99,1
212900,0.99,1
213000,0.99,1
213100,0.91,2
213200,0.99,1
213300,0.95,3
213400,0.98,1
213500,0.73,9
213600,0.74,7
213700,0.97,1
213800,0.97,1
213900,0.9,1
214000,0.89,3
214100,0.93,1
214200,0.86,3
214300,0.94,1
214400,0.86,8
214500,0.96,1
214600,0.93,1
214700,0.92,4
214800,0.88,10
214900,0.99,1
215000,0.78,3
215100,0.94,1
215200,0.9,2
215300,0.94,1
215400,0.95,2
215500,0.97,1
215600,0.94,1
215700,0.96,1
215800,0.96,2
215900,0.95,1
216000,0.96,1
216100,0.9,2
216200,0.98,1
216300,0.89,1
216400,0.99,1
216500,0.91,2
216600,0.96,1
216700,0.95,1
216800,0.93,2
216900,0.95,1
217000,0.99,1
217100,0.99,1
217200,0.95,1
217300,0.96,1
217400,0.87,2
217500,0.89,1
217600,0.92,1
217700,0.97,1
217800,0.94,1
217900,0.98,1
218000,0.98,1
218100,0.96,2
218200,0.98,1
218300,0.93,1
218400,0.83,7
218500,0.86,5
218600,0.95,1
218700,0.91,2
218800,0.98,1
218900,0.89,4
219000,0.9,2
219100,0.81,6
219200,0.92,1
219300,0.8,3
219400,0.92,1
219500,0.95,2
219600,0.97,1
219700,0.92,2
219800,0.84,3
219900,0.95,1
220000,0.94,2
220100,0.9,2
220200,0.96,1
220300,0.92,2
220400,0.88,2
220500,0.94,2
220600,1.0,0
220700,0.92,2
220800,0.89,1
220900,0.9,2
221000,0.88,2
221100,0.96,2
221200,0.99,1
221300,0.97,1
221400,0.93,1
221500,0.97,1
221600,0.98,1
221700,0.93,2
221800,0.95,1
221900,0.95,1
222000,0.94,2
222100,0.83,3
222200,0.94,2
222300,0.98,1
222400,0.9,1
222500,0.76,3
222600,0.97,2
222700,0.92,1
222800,0.97,1
222900,0.94,1
223000,0.96,1
223100,0.77,3
223200,0.92,2
223300,0.87,1
223400,0.94,1
223500,0.9,2
223600,0.94,2
223700,0.96,1
223800,0.99,1
223900,0.9,1
224000,0.96,2
224100,0.94,1
224200,0.94,1
224300,0.97,1
224400,0.95,1
224500,0.98,1
224600,0.99,1
224700,0.93,2
224800,0.94,2
224900,0.98,1
225000,0.95,2
225100,0.89,3
225200,0.97,1
225300,0.93,1
225400,0.91,1
225500,0.97,1
225600,0.98,1
225700,0.9,2
225800,0.97,1
225900,0.98,1
226000,0.96,2
226100,0.97,1
226200,0.94,2
226300,1.0,0
226400,1.0,0
226500,0.93,1
226600,0.95,1
226700,0.96,2
226800,0.96,1
226900,0.88,2
227000,0.98,1
227100,0.98,1
227200,0.98,1
227300,1.0,0
227400,0.96,1
227500,0.88,2
227600,1.0,0
227700,0.91,2
227800,0.96,1
227900,0.94,1
228000,0.93,1
228100,0.96,1
228200,1.0,0
228300,0.97,1
228400,0.99,1
228500,0.97,2
228600,0.99,1
228700,0.98,1
228800,0.99,1
228900,0.96,1
229000,0.98,1
229100,0.98,1
229200,0.98,1
229300,0.95,1
229400,0.96,1
229500,0.97,1
229600,0.99,1
229700,0.93,2
229800,0.94,2
229900,0.96,1
230000,0.97,1
230100,1.0,0
230200,0.9,2
230300,0.94,1
230400,0.93,1
230500,0.92,1
230600,0.93,1
230700,0.99,1
230800,0.94,1
230900,0.97,1
231000,0.94,5
231100,1.0,0
231200,0.97,1
231300,0.98,1
231400,0.94,1
231500,0.97,1
231600,0.95,1
231700,0.89,2
231800,0.92,1
231900,0.99,1
232000,0.99,1
232100,0.99,1
232200,0.99,1
232300,0.98,1
232400,0.8,2
232500,0.9,1
232600,0.98,1
232700,0.95,1
232800,0.98,1
232900,0.95,2
233000,0.93,1
233100,0.88,2
233200,0.9,2
233300,0.97,2
233400,0.98,1
233500,0.96,1
233600,0.93,1
233700,0.98,1
233800,0.86,2
233900,0.93,1
234000,0.98,1
234100,0.98,1
234200,0.99,1
234300,0.93,1
234400,0.98,1
234500,1.0,0
234600,0.98,1
234700,0.98,1
234800,0.97,2
234900,0.99,1
235000,0.99,1
235100,0.97,1
235200,0.97,1
235300,0.98,1
235400,0.96,1
235500,0.92,2
235600,0.93,1
235700,0.96,1
235800,0.96,1
235900,0.95,2
236000,0.94,1
236100,0.97,1
236200,0.96,2
236300,0.97,1
236400,0.93,1
236500,0.93,2
236600,0.93,1
236700,0.99,1
236800,0.96,2
236900,0.99,1
237000,0.94,2
237100,0.97,1
237200,0.97,2
237300,0.99,1
237400,0.99,1
237500,0.97,2
237600,0.98,1
237700,0.97,1
237800,0.97,1
237900,0.95,1
238000,0.87,1
238100,0.93,2
238200,0.94,2
238300,1.0,0
238400,0.94,3
238500,0.98,1
238600,0.98,1
238700,0.86,3
238800,0.89,3
238900,0.96,2
239000,0.98,1
239100,0.94,1
239200,0.94,1
239300,0.94,1
239400,0.96,1
239500,0.99,1
239600,0.97,1
239700,0.9,2
239800,0.89,4
239900,0.99,1
240000,0.99,1
240100,0.94,3
240200,0.97,1
240300,0.95,1
240400,0.93,1
240500,0.97,1
240600,0.89,2
240700,0.95,2
240800,0.97,1
240900,0.9,3
241000,0.96,2
241100,0.97,2
241200,0.98,1
241300,0.97,1
241400,0.95,1
241500,1.0,0
241600,0.9,2
241700,0.92,2
241800,0.89,2
241900,0.97,1
242000,0.96,2
242100,1.0,0
242200,0.92,1
242300,0.98,1
242400,0.96,2
242500,0.98,1
242600,0.94,2
242700,0.93,2
242800,0.91,1
242900,0.96,1
243000,0.86,4
243100,0.97,1
243200,0.88,2
243300,0.95,2
243400,0.99,1
243500,1.0,0
243600,0.98,1
243700,0.99,1
243800,0.97,1
243900,0.98,1
244000,0.98,1
244100,0.98,1
244200,0.88,1
244300,0.87,4
244400,0.96,1
244500,0.9,3
244600,0.99,1
244700,0.92,2
244800,0.9,3
244900,0.95,2
245000,1.0,0
245100,0.9,2
245200,0.89,1
245300,0.95,2
245400,0.89,1
245500,0.95,1
245600,0.97,1
245700,0.94,1
245800,0.94,3
245900,0.96,1
246000,0.97,1
246100,0.97,1
246200,0.88,4
246300,0.96,2
246400,0.92,2
246500,0.94,3
246600,0.94,1
246700,0.96,1
246800,0.96,1
246900,0.94,2
247000,0.98,1
247100,0.97,1
247200,0.8,2
247300,0.87,2
247400,0.89,3
247500,0.97,1
247600,0.94,2
247700,0.96,3
247800,0.97,1
247900,0.96,1
248000,0.94,1
248100,0.95,1
248200,0.96,1
248300,0.94,1
248400,0.94,1
248500,0.99,1
248600,0.9,2
248700,1.0,0
248800,0.94,1
248900,0.92,2
249000,0.99,1
249100,0.95,1
249200,0.98,1
249300,0.86,2
249400,0.9,2
249500,0.94,1
249600,0.91,2
249700,0.97,1
249800,0.98,1
249900,0.99,1
250000,1.0,0
250100,0.9,4
250200,1.0,0
250300,0.93,2
250400,0.99,1
250500,0.98,1
250600,0.97,1
250700,0.89,1
250800,0.88,1
250900,0.97,1
251000,0.99,1
251100,1.0,0
251200,0.96,1
251300,0.94,1
251400,0.94,2
251500,0.87,5
251600,0.98,1
251700,0.98,1
251800,0.99,1
251900,0.98,1
252000,0.98,1
252100,0.95,1
252200,0.93,2
252300,0.95,2
252400,0.82,4
252500,0.97,1
252600,0.99,1
252700,0.99,1
252800,0.99,1
252900,0.98,1
253000,0.75,14
253100,0.87,1
253200,0.92,3
253300,0.98,1
253400,0.84,1
253500,0.94,2
253600,0.96,1
253700,0.99,1
253800,0.98,1
253900,0.98,1
254000,0.79,4
254100,0.81,2
254200,0.99,1
254300,0.95,2
254400,0.96,1
254500,0.96,1
254600,0.93,2
254700,0.98,1
254800,0.99,1
254900,0.98,1
255000,1.0,0
255100,0.94,2
255200,0.91,1
255300,0.98,2
255400,0.96,1
255500,0.91,3
255600,1.0,0
255700,0.99,1
255800,0.94,3
255900,0.97,1
256000,0.93,2
256100,0.97,2
256200,0.95,2
256300,0.94,2
256400,0.84,2
256500,0.04,85
256600,0.3,41
256700,0.24,65
256800,0.63,22
256900,0.55,21
257000,0.66,18
257100,0.96,1
257200,0.96,1
257300,0.98,1
257400,0.93,1
257500,0.98,1
257600,0.96,2
257700,0.95,2
257800,0.99,1
257900,0.83,2
258000,0.85,2
258100,0.84,2
258200,0.97,1
258300,0.87,1
258400,0.92,1
258500,0.9,1
258600,0.96,1
258700,0.97,1
258800,0.9,3
258900,0.96,1
259000,0.97,1
259100,0.99,1
259200,0.99,1
259300,0.99,1
259400,0.92,1
259500,0.96,1
259600,0.96,2
259700,0.95,1
259800,0.93,2
259900,0.98,1
260000,0.95,2
260100,0.99,1
260200,0.97,1
260300,0.97,1
260400,0.96,2
260500,0.88,2
260600,0.8,2
260700,0.94,2
260800,0.97,1
260900,0.94,2
261000,0.92,2
261100,0.77,2
261200,0.98,1
261300,0.98,1
261400,0.99,1
261500,0.97,1
261600,0.95,3
261700,0.97,1
261800,0.99,1
261900,0.97,1
262000,0.93,2
262100,0.85,3
262200,0.96,1
262300,0.83,2
262400,0.88,2
262500,1.0,0
262600,0.75,3
262700,0.98,1
262800,0.97,1
262900,0.88,1
263000,0.97,1
263100,0.93,2
263200,0.87,1
263300,0.88,1
263400,0.95,1
263500,0.9,2
263600,0.98,1
263700,0.99,1
263800,0.58,17
263900,0.63,9
264000,0.92,2
264100,0.94,4
264200,0.97,1
264300,0.99,1
264400,0.9,1
264500,0.97,1
264600,0.91,1
264700,0.98,1
264800,0.99,1
264900,1.0,0
265000,0.92,2
265100,0.88,3
265200,1.0,0
265300,0.98,1
265400,0.93,3
265500,0.31,32
265600,0.97,1
265700,0.66,29
265800,0.0,100
265900,0.75,9
266000,0.78,9
266100,0.9,4
266200,0.91,2
266300,0.22,24
266400,0.12,74
266500,0.73,5
